job_title,job_detail_url,job_listed,company_name,company_link,company_location
Player Relations Executive,https://eg.linkedin.com/jobs/view/player-relations-executive-at-wadi-degla-clubs-company-s-a-e-3958025931?position=1&pageNum=0&refId=ExTdqhaJyllzaE4DtUiz7Q%3D%3D&trackingId=3oQGAoK3%2F%2FHyvDj0ItmgMw%3D%3D&trk=public_jobs_jserp-result_search-card,3 days ago,Wadi Degla Clubs Company S.A.E.,https://eg.linkedin.com/company/wadi-degla-clubs-company-s-a-e?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Site Engineer,https://eg.linkedin.com/jobs/view/site-engineer-at-m%C3%B6venpick-hotels-resorts-3932336176?position=2&pageNum=0&refId=ExTdqhaJyllzaE4DtUiz7Q%3D%3D&trackingId=vvYeecLXnnrZiFJL4hikIg%3D%3D&trk=public_jobs_jserp-result_search-card,1 month ago,Mövenpick Hotels & Resorts,https://fr.linkedin.com/company/moevenpick-hotels-&-resorts?trk=public_jobs_jserp-result_job-search-card-subtitle,"Al Bahr al Ahmar, Egypt"
Shift Engineer,https://eg.linkedin.com/jobs/view/shift-engineer-at-m%C3%B6venpick-hotels-resorts-3932331633?position=3&pageNum=0&refId=ExTdqhaJyllzaE4DtUiz7Q%3D%3D&trackingId=PFYnjAzfEc6mau3xTWzKkw%3D%3D&trk=public_jobs_jserp-result_search-card,1 month ago,Mövenpick Hotels & Resorts,https://fr.linkedin.com/company/moevenpick-hotels-&-resorts?trk=public_jobs_jserp-result_job-search-card-subtitle,"Al Bahr al Ahmar, Egypt"
Executive Assistant,https://eg.linkedin.com/jobs/view/executive-assistant-at-the-coca-cola-company-3959129118?position=4&pageNum=0&refId=ExTdqhaJyllzaE4DtUiz7Q%3D%3D&trackingId=jTqiU%2Bf2x9V%2Bn9PB7JwZLg%3D%3D&trk=public_jobs_jserp-result_search-card,1 day ago,The Coca-Cola Company,https://www.linkedin.com/company/the-coca-cola-company?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Receptionist,https://eg.linkedin.com/jobs/view/receptionist-at-al-mansour-automotive-3959719132?position=5&pageNum=0&refId=ExTdqhaJyllzaE4DtUiz7Q%3D%3D&trackingId=vmbTmZoLhEMUjc2cZYQ7dw%3D%3D&trk=public_jobs_jserp-result_search-card,1 day ago,Al-Mansour Automotive,https://eg.linkedin.com/company/al-mansour-automotive?trk=public_jobs_jserp-result_job-search-card-subtitle,"Giza, Al Jizah, Egypt"
Reconciliation Officer,https://eg.linkedin.com/jobs/view/reconciliation-officer-at-banque-misr-3948255612?position=6&pageNum=0&refId=ExTdqhaJyllzaE4DtUiz7Q%3D%3D&trackingId=0z54OZePor9NeU2Sfpqqiw%3D%3D&trk=public_jobs_jserp-result_search-card,2 weeks ago,Banque Misr,https://eg.linkedin.com/company/banque-misr?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt"
"Digital Marketing Executive, noon food",https://eg.linkedin.com/jobs/view/digital-marketing-executive-noon-food-at-noon-3937341892?position=7&pageNum=0&refId=ExTdqhaJyllzaE4DtUiz7Q%3D%3D&trackingId=YIJYZPf4tLfHwhUHV%2FAZBw%3D%3D&trk=public_jobs_jserp-result_search-card,4 weeks ago,noon,https://sa.linkedin.com/company/nooncom?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt"
Training Officer,https://eg.linkedin.com/jobs/view/training-officer-at-wadi-degla-clubs-company-s-a-e-3958787420?position=8&pageNum=0&refId=ExTdqhaJyllzaE4DtUiz7Q%3D%3D&trackingId=68kpBLs5nv9AJxDaB1ZtjA%3D%3D&trk=public_jobs_jserp-result_search-card,2 days ago,Wadi Degla Clubs Company S.A.E.,https://eg.linkedin.com/company/wadi-degla-clubs-company-s-a-e?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt"
Marketing Specialist,https://eg.linkedin.com/jobs/view/marketing-specialist-at-talaat-moustafa-group-3937196703?position=9&pageNum=0&refId=ExTdqhaJyllzaE4DtUiz7Q%3D%3D&trackingId=pMZa%2FS4MN1UjJz2EXSD%2BAQ%3D%3D&trk=public_jobs_jserp-result_search-card,4 weeks ago,Talaat Moustafa Group,https://eg.linkedin.com/company/talaatmoustafagroup?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt"
Chief Accountant,https://eg.linkedin.com/jobs/view/chief-accountant-at-misr-technology-services-3942303348?position=10&pageNum=0&refId=ExTdqhaJyllzaE4DtUiz7Q%3D%3D&trackingId=RwKPeaOZw2Ly3CgyTHIWTA%3D%3D&trk=public_jobs_jserp-result_search-card,3 weeks ago,Misr Technology Services,https://eg.linkedin.com/company/misr-technology-services?trk=public_jobs_jserp-result_job-search-card-subtitle,"Heliopolis, Cairo, Egypt"
